n,comparisons,time_ns
6420000,21,2809
6430000,21,2774
6440000,21,2761
6450000,21,2864
6460000,21,3225
6470000,21,2559
6480000,21,2795
6490000,21,3067
6500000,21,2768
6510000,21,2692
6520000,21,2824
6530000,21,2713
6540000,21,2776
6550000,21,2862
6560000,21,2740
6570000,21,2827
6580000,21,2604
6590000,21,2615
6600000,21,2748
6610000,21,2353
6620000,21,2553
6630000,21,2499
6640000,21,2486
6650000,21,2624
6660000,21,2530
6670000,21,3271
6680000,21,3716
6690000,21,5613
6700000,21,2960
6710000,21,2612
6720000,21,2541
6730000,21,2567
6740000,21,2971
6750000,21,2395
6760000,21,2637
6770000,21,2611
6780000,21,2421
6790000,21,2487
6800000,21,2373
6810000,21,3083
6820000,21,2655
6830000,21,3532
6840000,21,2445
6850000,21,2521
6860000,21,2926
6870000,21,2396
6880000,21,2344
6890000,21,2743
6900000,21,2276
6910000,21,2690
6920000,21,3296
6930000,21,3147
6940000,21,2583
6950000,21,2693
6960000,21,2372
6970000,21,2401
6980000,21,2570
6990000,21,2600
7000000,21,2825
