arquivo,metrica,modelo,equacao,derivada,n_final,taxa_variacao_final,r2_ajustado,rmse
quicksort_random.csv,comparisons,O(n log n),y = 2.425216e+00nln(n) + -2933.336522,31.117630079143485,137430,31.117630079143485,0.9994936720827964,18182.690809310705
quicksort_random.csv,copies,O(n log n),y = 6.794294e-01nln(n) + 190.104482,8.717669917945381,137430,8.717669917945381,0.9999635377109449,1366.6524123310062
quicksort_random.csv,time_ns,O(n²),y = 1.216573e-04n² + 65.287385n + 24703.961613,98.72610839632569,137430,98.72610839632569,0.9945647847305735,165551.1025965264
selectionsort_ascending.csv,comparisons,O(n²),y = 5.000000e-01n² + -0.500011n + 0.299748,137429.50000755175,137430,137429.50000755175,1.0,0.24983823874777122
selectionsort_ascending.csv,copies,O(n),y = 2.000000n + -2.000000,2.0,137430,2.0,1.0,9.464518393127508e-14
selectionsort_ascending.csv,time_ns,O(n²),y = 2.013853e-01n² + -356.980291n + 1119964.593415,54995.77882830371,137430,54995.77882830371,0.9998205991215552,8263746.72713824
selectionsort_descending.csv,comparisons,O(n²),y = 5.000000e-01n² + -0.500011n + 0.299748,137429.50000755175,137430,137429.50000755175,1.0,0.24983823874777122
selectionsort_descending.csv,copies,O(n),y = 2.000000n + -2.000000,2.0,137430,2.0,1.0,9.464518393127508e-14
selectionsort_descending.csv,time_ns,O(n²),y = 2.099227e-01n² + -212.563086n + 854413.296833,57486.7820361785,137430,57486.7820361785,0.99976459227171,9934224.09208215
selectionsort_near_ascending_pct.csv,comparisons,O(n²),y = 5.000000e-01n² + -0.500011n + 0.299748,137429.50000755175,137430,137429.50000755175,1.0,0.24983823874777122
selectionsort_near_ascending_pct.csv,copies,O(n),y = 2.000000n + -2.000000,2.0,137430,2.0,1.0,9.464518393127508e-14
selectionsort_near_ascending_pct.csv,time_ns,O(n²),y = 1.989269e-01n² + -78.128709n + 351832.011588,54598.92552329591,137430,54598.92552329591,0.9995311216532159,13359864.564620677
selectionsort_near_descending_pct.csv,comparisons,O(n²),y = 5.000000e-01n² + -0.500011n + 0.299748,137429.50000755175,137430,137429.50000755175,1.0,0.24983823874777122
selectionsort_near_descending_pct.csv,copies,O(n),y = 2.000000n + -2.000000,2.0,137430,2.0,1.0,9.464518393127508e-14
selectionsort_near_descending_pct.csv,time_ns,O(n²),y = 2.016596e-01n² + -298.336540n + 657721.799770,55129.8152890379,137430,55129.8152890379,0.9996625995667976,11378597.531593004
selectionsort_random.csv,comparisons,O(n²),y = 5.000000e-01n² + -0.500011n + 0.299748,137429.50000755175,137430,137429.50000755175,1.0,0.24983823874777122
selectionsort_random.csv,copies,O(n),y = 2.000000n + -2.000000,2.0,137430,2.0,1.0,9.464518393127508e-14
selectionsort_random.csv,time_ns,O(n²),y = 1.966158e-01n² + 176.881020n + -243382.845324,54218.709196197095,137430,54218.709196197095,0.9997515463754975,9720040.03065815
shellsort_ascending.csv,comparisons,O(n log n),y = 8.430589e-01nln(n) + -714.570436,10.817179468906629,137430,10.817179468906629,0.9999605062845056,1764.8766761267614
shellsort_ascending.csv,copies,O(n log n),y = 8.430589e-01nln(n) + -714.570436,10.817179468906629,137430,10.817179468906629,0.9999605062845056,1764.8766761267614
shellsort_ascending.csv,time_ns,O(n log n),y = 1.510012e+00nln(n) + 3609.314096,19.374762450943297,137430,19.374762450943297,0.9979116084741603,23009.922162973282
